奈德 临 unknown 奈德·斯塔克是临冬城公爵暨北境守卫
艾德 城徒利 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
艾德 凯特琳 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
艾德 长子 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
艾德 长女 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
艾德 艾莉 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
城徒利 凯特琳 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
城徒利 长子 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
城徒利 长女 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
城徒利 艾莉 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
凯特琳 长子 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
凯特琳 长女 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
凯特琳 艾莉 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
长子 长女 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
长子 艾莉 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
长女 艾莉 unknown 艾德公爵娶奔流城徒利家族的长女凯特琳·徒利为妻，二人共育三子二女，分别为长子罗柏、长女珊莎、次女艾莉亚、次子布兰和幼子瑞肯
琼恩 雪诺 unknown 艾德另有一私生的儿子琼恩·雪诺，其母身份不明
铁 巴隆 unknown 铁群岛之首巴隆·葛雷乔伊大王仅存的幼子，席恩·葛雷乔伊被艾德公爵收为养子，与他的儿女同长大
铁 ，席恩 unknown 铁群岛之首巴隆·葛雷乔伊大王仅存的幼子，席恩·葛雷乔伊被艾德公爵收为养子，与他的儿女同长大
铁 艾德 unknown 铁群岛之首巴隆·葛雷乔伊大王仅存的幼子，席恩·葛雷乔伊被艾德公爵收为养子，与他的儿女同长大
巴隆 ，席恩 unknown 铁群岛之首巴隆·葛雷乔伊大王仅存的幼子，席恩·葛雷乔伊被艾德公爵收为养子，与他的儿女同长大
巴隆 艾德 unknown 铁群岛之首巴隆·葛雷乔伊大王仅存的幼子，席恩·葛雷乔伊被艾德公爵收为养子，与他的儿女同长大
，席恩 艾德 unknown 铁群岛之首巴隆·葛雷乔伊大王仅存的幼子，席恩·葛雷乔伊被艾德公爵收为养子，与他的儿女同长大
凯特琳 徒利 unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
凯特琳 临 unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
凯特琳 ， unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
凯特琳 艾德 unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
徒利 临 unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
徒利 ， unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
徒利 艾德 unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
临 ， unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
临 艾德 unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
， 艾德 unknown 凯特琳·徒利·史塔克是临冬城公爵夫人，艾德公爵之妻
流城 霍斯特 unknown 凯特琳作为奔流城公爵霍斯特·徒利的长女，本是艾德·史塔克的长兄，布兰登的未婚妻，布兰登死后，改婚约嫁给艾德
流城 艾德 unknown 凯特琳作为奔流城公爵霍斯特·徒利的长女，本是艾德·史塔克的长兄，布兰登的未婚妻，布兰登死后，改婚约嫁给艾德
流城 改婚 unknown 凯特琳作为奔流城公爵霍斯特·徒利的长女，本是艾德·史塔克的长兄，布兰登的未婚妻，布兰登死后，改婚约嫁给艾德
霍斯特 艾德 unknown 凯特琳作为奔流城公爵霍斯特·徒利的长女，本是艾德·史塔克的长兄，布兰登的未婚妻，布兰登死后，改婚约嫁给艾德
